team_a,team_b,rivalry_name,first_meeting,latest_meeting,meetings,source,source_type,verification_status
Army,Notre Dame,Army-Notre Dame,1913,2024,52,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Clemson,Auburn-Clemson,1899,2017,51,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Florida,Auburn-Florida,1912,2019,84,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Georgia,Deep South's Oldest Rivalry,1892,2023,128,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Georgia Tech,Auburn-Georgia Tech,1892,2005,92,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Ole Miss,Auburn-Ole Miss,1928,2023,48,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Tennessee,Auburn-Tennessee,1900,2020,54,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Auburn,Tulane,Auburn-Tulane,1902,2019,38,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Pittsburgh,West Virginia,Backyard Brawl,1895,2025,108,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Ball State,Northern Illinois,Ball State-Northern Illinois (Bronze Stalk),1941,2025,53,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Mississippi State,Battle for Highway 82,1896,2023,108,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Nevada,UNLV,Battle for Nevada (Fremont Cannon),1969,2025,51,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Cincinnati,Miami (OH),Battle for the Bell,1888,2024,128,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
